Borough,Neighborhood,Latitude,Longitude
BRONX,Bronx Park and Fordham,40.86779115528668,-73.8887349283099
BRONX,Central Bronx,40.84725698621051,-73.90021339191011
BRONX,High Bridge and Morrisania,40.83232190193561,-73.91634503561328
BRONX,Hunts Point and Mott Haven,40.81618574747506,-73.90453974814211
BRONX,Kingsbridge and Riverdale,40.88323795919485,-73.90471901959437
BRONX,Northeast Bronx,40.89100844040997,-73.85868865639371
BRONX,Southeast Bronx,40.83334498334201,-73.85526694061598
BROOKLYN,Borough Park,40.62917529336489,-73.97727515988406
BROOKLYN,Bushwick and Williamsburg,40.69757102861537,-73.92950575205546
BROOKLYN,Canarsie and Flatlands,40.63315420504722,-73.90904306865338
BROOKLYN,Central Brooklyn,40.67442496007714,-73.93727644726742
BROOKLYN,East New York and New Lots,40.67540003211209,-73.88537650684495
BROOKLYN,Flatbush,40.651104152369015,-73.95148946980666
BROOKLYN,Greenpoint,40.71839114177674,-73.95239469587419
BROOKLYN,Northwest Brooklyn,40.68661587886294,-73.98410034264276
BROOKLYN,Southern Brooklyn,40.59060947057325,-73.96490397436833
BROOKLYN,Southwest Brooklyn,40.61502063102216,-74.01339834728864
BROOKLYN,Sunset Park,40.645400502632945,-74.00834329668648
MANHATTAN,Central Harlem,40.81253732315032,-73.94637784447215
MANHATTAN,Chelsea and Clinton,40.752789623638876,-73.99375533773409
MANHATTAN,East Harlem,40.795219111734866,-73.94163926135211
MANHATTAN,Gramercy Park and Murray Hill,40.74593015282692,-73.97782009703586
MANHATTAN,Greenwich Village and Soho,40.72696499386202,-74.00210531187506
MANHATTAN,Inwood and Washington Heights,40.84566974911411,-73.93649565834956
MANHATTAN,Lower East Side,40.72373349703244,-73.98560364045571
MANHATTAN,Lower Manhattan,40.7085239748266,-74.008436537963
MANHATTAN,Upper East Side,40.77481969715056,-73.95498324463087
MANHATTAN,Upper West Side,40.78615502540142,-73.97423863525728
QUEENS,Central Queens,40.725552013975104,-73.80814811008922
QUEENS,Jamaica,40.69766142556479,-73.79022546574743
QUEENS,North Queens,40.771383841608376,-73.82181709962889
QUEENS,Northeast Queens,40.7582507485965,-73.76408907044173
QUEENS,Northwest Queens,40.761116269638954,-73.92578542044694
QUEENS,Rockaways,40.59243284636278,-73.78887258826302
QUEENS,Southeast Queens,40.700357685633435,-73.74044648791387
QUEENS,Southwest Queens,40.68274929660673,-73.83595183735545
QUEENS,West Central Queens,40.71330826809357,-73.87928592205819
QUEENS,West Queens,40.7474523398295,-73.87888859755134
STATEN ISLAND,Mid-Island,40.60452241236861,-74.14642281265833
STATEN ISLAND,Port Richmond,40.632617722729364,-74.1379724202524
STATEN ISLAND,South Shore,40.548351475887536,-74.16635597417915
STATEN ISLAND,Stapleton and St. George,40.622230672907044,-74.0830945170886
